t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,malware
82,16,240,262,112,123,65,274,158,215,274,158,215,274,158,215,260,72,274,158,215,89,208,260,141,65,260,141,65,172,60,208,187,208,240,117,39,35,171,172,117,208,35,215,274,158,215,274,158,215,35,208,35,240,117,225,35,60,81,31,260,141,82,260,141,65,260,141,65,260,141,65,240,117,65,122,261,106,208,240,117,80,208,261,208,89,208,172,274,158,215,274,158,215,274,158,215,274,158,215,0
240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,228,112,215,298,76,208,76,172,117,172,117,172,76,117,35,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,117,60,81,60,81,208,35,215,35,208,35,240,117,172,60,81,60,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,71,0
82,240,117,240,117,240,117,240,117,93,240,117,16,263,215,240,82,117,240,117,240,117,240,117,215,274,158,215,274,158,215,257,240,117,71,297,135,171,215,257,215,257,215,257,215,257,215,257,215,257,215,257,215,257,215,257,114,215,20,215,240,20,215,20,215,82,240,20,215,117,172,117,194,72,194,297,208,187,208,240,117,39,35,171,172,117,208,35,215,35,208,35,240,117,224,297,93,10,262,274,0
82,16,25,294,86,60,81,60,81,60,260,141,35,65,240,117,260,117,141,117,141,117,65,117,112,240,117,245,123,210,65,260,87,65,87,14,141,123,198,215,274,158,215,274,158,215,35,208,35,240,117,35,240,117,91,117,74,240,117,7,159,240,117,230,240,117,18,117,192,89,133,35,240,80,215,260,141,35,89,35,60,172,25,5,87,35,214,117,215,65,215,50,215,14,65,243,172,283,215,178,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,71,25,71,275,260,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,117,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,71,25,71,275,260,0
82,224,110,82,86,82,70,37,82,275,70,37,70,37,82,208,187,208,215,274,215,274,158,215,274,215,274,158,215,274,215,274,158,215,274,215,274,158,215,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,71,25,71,275,260,0
82,16,208,172,117,20,95,112,240,117,208,240,117,285,240,117,172,117,172,117,172,117,108,198,208,109,148,194,297,293,286,73,286,208,297,135,171,215,275,240,117,106,171,260,240,117,260,65,141,260,65,100,215,240,117,260,65,215,274,260,65,141,65,117,260,65,141,260,65,240,117,260,141,65,286,73,286,73,286,73,286,73,286,73,286,208,110,275,240,117,172,117,172,117,275,240,172,117,35,208,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,71,25,71,275,260,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,71,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,71,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,71,25,71,275,260,240,0
16,172,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,0
82,208,187,208,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,208,172,117,16,208,35,243,208,286,172,117,56,2,81,140,142,172,117,260,172,117,274,158,215,274,158,215,274,158,215,274,158,215,117,172,117,56,215,240,208,187,208,0
82,208,187,208,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,208,16,208,20,34,208,264,187,215,20,34,208,264,187,215,20,34,208,264,187,215,20,34,208,264,187,215,20,34,208,264,187,215,208,20,34,208,264,187,215,20,34,0
82,16,172,240,117,215,274,158,215,274,158,215,274,158,208,240,117,71,297,135,171,215,297,257,29,215,257,215,208,240,117,285,117,208,215,82,208,187,208,215,208,263,208,257,215,297,135,171,215,257,215,297,10,215,297,10,215,257,114,215,208,297,10,215,297,93,10,199,93,10,264,215,297,10,215,297,10,215,297,93,10,199,93,10,208,264,215,208,215,257,215,297,10,215,297,10,215,257,114,215,0
82,198,274,158,215,86,82,274,37,240,117,260,117,40,117,209,260,40,117,226,117,65,194,260,117,141,117,141,65,257,260,40,226,65,260,141,65,257,260,40,65,260,40,65,257,260,141,65,260,141,65,172,117,260,141,65,262,228,275,172,240,275,172,274,158,215,172,117,274,158,274,158,215,274,278,274,158,215,278,215,274,215,274,176,215,274,215,274,176,215,274,215,274,158,215,274,215,274,158,215,0
82,16,82,103,297,286,194,286,85,286,194,286,198,112,297,8,215,112,113,112,123,65,113,112,123,65,113,65,112,113,112,123,65,113,112,123,65,113,112,123,65,113,65,112,113,112,123,65,113,112,123,65,113,65,112,208,187,208,245,210,65,274,158,215,240,117,86,240,262,112,123,65,274,158,215,274,158,215,274,158,215,260,72,274,158,215,89,192,89,133,86,99,123,208,35,123,112,123,65,172,0
117,172,117,228,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,82,172,117,16,208,240,82,208,271,29,82,29,286,110,142,208,142,208,230,86,208,274,158,215,274,158,215,274,158,215,274,158,215,240,117,50,172,117,0
82,240,117,240,117,240,117,240,117,240,117,172,117,172,117,16,208,172,117,99,286,194,286,208,187,208,120,217,297,8,260,135,171,178,215,112,113,112,274,158,215,274,158,215,240,117,71,297,135,171,215,112,113,112,40,226,65,113,112,40,226,65,113,112,40,226,65,113,112,40,226,65,113,112,40,226,65,113,112,40,226,65,113,112,40,226,65,113,112,40,226,65,113,112,40,226,65,113,112,40,0
208,187,208,93,208,172,117,82,60,81,60,81,297,93,215,260,141,65,260,141,65,198,172,117,260,294,275,112,240,262,112,123,65,274,158,215,274,158,215,274,158,215,260,72,274,158,215,89,208,35,215,274,158,215,274,158,215,240,117,172,60,81,60,81,208,187,208,240,117,39,35,171,172,117,208,35,215,35,208,35,240,117,240,117,71,297,135,171,215,208,240,117,35,215,274,35,65,172,117,225,0
82,228,16,172,240,117,208,215,274,158,215,274,158,215,274,158,108,240,117,50,117,50,208,248,194,297,93,10,29,264,215,208,194,144,172,117,208,82,297,93,252,215,194,144,194,297,93,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,208,264,0
172,117,228,172,117,172,117,82,172,117,82,16,208,82,198,86,82,37,262,228,275,172,240,275,172,274,158,215,172,117,274,158,274,158,215,274,278,274,158,215,278,215,274,215,274,176,215,274,215,274,176,215,274,215,274,158,215,274,215,274,158,215,37,158,215,240,117,35,117,35,117,35,117,35,117,240,117,35,117,208,117,35,117,35,117,215,274,215,274,158,215,274,215,274,158,215,35,286,117,243,0
198,208,106,271,144,194,257,127,114,127,114,215,131,117,111,86,135,171,215,260,274,158,215,274,158,215,298,111,81,297,135,171,8,178,215,172,117,172,117,111,81,140,228,135,171,86,172,117,99,35,172,117,262,0,117,172,117,172,117,228,172,240,117,71,297,135,171,215,103,228,103,228,20,80,89,86,215,172,117,172,117,103,172,228,172,228,172,117,208,25,172,117,172,117,274,158,248,194,144,194,0
208,187,208,93,208,172,117,82,60,81,60,81,297,93,215,260,141,65,260,141,65,198,172,117,260,294,275,112,240,262,112,123,65,274,158,215,274,158,215,274,158,215,260,72,274,158,215,89,208,35,215,274,158,215,274,158,215,240,117,172,60,81,60,81,208,187,208,240,117,39,35,171,172,117,208,35,215,35,208,35,240,117,240,117,71,297,135,171,215,208,225,35,225,35,225,215,260,275,240,117,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,71,25,71,275,260,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,117,0
111,81,172,117,208,112,208,112,257,29,215,257,297,257,215,297,93,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,0
82,16,31,86,208,86,31,208,89,208,31,125,89,208,287,89,208,287,89,117,261,208,274,215,260,65,260,65,159,71,25,71,275,260,240,117,141,65,260,141,274,158,215,274,158,215,65,86,99,71,215,240,117,208,31,261,240,117,214,260,80,31,80,208,215,31,215,35,208,35,240,117,240,117,89,208,117,260,141,117,65,208,86,208,82,112,123,65,275,86,112,240,117,215,86,208,215,261,172,117,0
82,198,274,158,215,86,82,274,37,240,117,37,117,70,117,278,37,70,117,176,117,215,194,37,117,158,117,158,215,257,37,70,176,215,37,158,215,257,37,70,215,37,70,215,257,37,158,215,37,158,215,172,117,37,158,215,262,228,275,172,240,275,172,274,158,215,172,117,274,158,274,158,215,274,278,274,158,215,278,215,274,215,274,176,215,274,215,274,176,215,274,215,274,158,215,274,215,274,158,215,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,71,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,71,25,71,275,260,0
82,208,187,208,172,117,172,208,82,16,208,243,35,208,240,117,240,117,172,117,208,35,215,274,215,274,158,215,274,215,274,158,215,35,286,56,2,13,112,108,60,81,60,81,86,208,86,108,240,117,240,262,112,123,65,274,158,215,274,158,215,274,158,215,260,72,274,158,215,89,192,89,133,215,111,81,13,117,208,187,208,274,158,266,215,35,208,35,240,117,60,81,35,215,274,35,65,260,141,65,0
82,172,117,172,117,16,172,117,172,117,31,297,198,8,135,171,178,215,8,135,171,178,215,8,135,171,178,215,240,117,285,112,274,158,215,274,158,215,240,117,71,297,135,171,215,112,113,112,40,226,112,141,274,158,215,274,215,284,194,158,215,141,274,158,215,274,215,284,194,158,215,65,113,112,40,226,112,141,274,158,215,274,215,284,194,215,65,113,112,40,226,112,141,274,158,215,274,215,284,194,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,117,0
82,208,187,208,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,208,16,240,117,215,260,141,65,240,86,298,31,35,60,35,60,35,60,25,260,87,141,260,141,25,240,117,240,117,240,117,15,117,15,240,117,240,117,100,215,213,248,0
82,240,117,240,117,240,117,208,187,208,117,208,117,208,172,117,172,117,16,117,99,173,215,173,215,173,215,173,158,215,172,117,260,141,65,99,172,117,172,117,172,117,260,172,117,208,215,117,297,215,20,215,297,208,264,187,215,56,82,274,158,215,274,158,215,117,2,81,2,81,2,81,2,81,198,112,297,8,215,112,113,112,123,65,113,112,123,65,113,65,112,113,112,123,65,113,112,123,65,113,0
208,187,208,93,208,172,117,82,60,81,60,81,297,93,215,260,141,65,260,141,65,198,172,117,260,294,275,112,240,262,112,123,65,274,158,215,274,158,215,274,158,215,260,72,274,158,215,89,208,35,215,274,158,215,274,158,215,240,117,172,60,81,60,81,208,187,208,240,117,39,35,171,172,117,208,35,215,35,208,35,240,117,208,240,117,71,297,135,171,215,240,117,35,215,274,35,65,172,117,225,0
208,187,208,93,208,172,117,82,60,81,60,81,297,93,215,260,141,65,260,141,65,198,172,117,260,294,275,112,240,262,112,123,65,274,158,215,274,158,215,274,158,215,260,72,274,158,215,89,208,35,215,274,158,215,274,158,215,240,117,172,60,81,60,81,208,187,208,240,117,39,35,171,172,117,208,35,215,35,208,35,240,117,240,117,71,297,135,171,215,208,225,35,60,81,35,225,35,225,215,260,0
82,240,117,240,117,93,117,16,286,208,187,208,240,117,39,35,171,172,117,208,35,198,112,297,8,215,112,113,112,123,65,113,112,123,65,113,65,112,113,112,123,65,113,112,123,65,113,112,123,65,113,65,112,113,112,123,65,113,112,123,65,113,65,112,208,187,208,245,210,65,274,158,215,240,117,294,86,240,262,112,123,65,274,158,215,274,158,215,274,158,215,260,72,274,158,215,89,192,89,133,0
82,16,240,117,50,172,60,208,187,208,240,117,39,35,171,172,117,208,35,215,274,158,215,274,158,215,35,208,35,240,117,225,35,60,81,31,122,261,172,117,274,215,106,171,260,141,65,240,117,260,70,260,65,141,260,65,287,240,117,11,117,274,215,260,65,260,141,65,260,141,65,172,117,240,117,260,65,208,274,158,215,274,158,215,274,158,215,89,172,80,215,260,141,65,208,260,70,260,65,141,0
82,16,208,187,208,198,172,117,172,117,215,274,158,215,274,158,215,240,117,71,297,135,171,215,35,172,117,275,240,80,35,260,86,25,213,25,60,215,25,260,141,65,240,117,31,260,141,14,65,117,214,240,117,208,240,117,172,117,240,117,240,117,240,80,35,240,117,35,260,35,208,35,240,117,35,117,2,81,140,208,240,117,240,117,208,240,117,275,208,240,117,208,117,208,35,117,208,240,117,208,0
82,208,187,208,172,117,172,208,16,60,81,60,81,35,172,60,81,60,81,60,81,215,274,158,215,274,158,215,35,208,35,240,117,208,225,35,60,81,35,76,225,35,225,215,260,275,260,141,65,260,141,65,198,172,117,260,294,240,117,31,117,215,260,141,65,215,35,156,215,156,215,208,260,141,65,240,117,71,297,135,171,215,260,172,60,225,35,225,35,240,117,35,240,117,35,117,35,2,81,240,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,117,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,71,25,71,275,260,0
82,16,35,240,117,86,208,86,31,261,106,171,260,240,117,260,65,141,260,65,260,141,65,260,65,141,260,65,194,260,82,240,117,240,117,260,117,141,240,117,261,117,261,117,240,117,215,240,117,260,65,215,260,65,141,260,65,141,65,260,65,141,260,65,141,65,298,297,135,171,215,261,2,81,140,208,240,117,208,117,60,81,25,117,60,81,25,60,81,25,60,81,25,60,81,25,60,81,25,60,0
208,187,208,93,208,172,117,82,16,82,208,297,208,187,208,172,117,172,117,208,93,240,117,82,291,81,215,274,158,215,274,158,215,208,187,208,274,158,266,208,187,208,240,117,39,35,171,172,117,208,35,215,35,208,35,240,117,60,81,240,117,240,117,71,297,135,171,215,240,117,35,60,81,60,81,215,260,275,260,141,65,260,141,65,198,172,117,260,294,240,117,31,117,215,260,141,65,215,35,156,0
82,16,208,86,260,141,65,240,25,60,81,60,81,172,60,81,60,81,208,187,208,240,117,39,35,171,172,117,208,35,60,215,274,158,215,274,158,215,35,208,35,240,117,260,141,65,56,208,112,123,65,260,141,65,215,56,240,208,187,208,240,117,31,106,171,260,240,117,260,65,141,260,65,100,215,240,117,260,65,215,274,260,65,141,240,117,71,297,135,171,215,260,65,141,260,65,240,117,240,117,0
